Model,Data,Method,Metric,Mean,StdErr,ParamStr
ann,heloc,shap,RIS,38258.49609375,524.88633399656,_std_1e-05_n_samples_1000_n_perturbations_100_p_norm_2_seed_-1_n_jobs_-1
ann,heloc,shap,RRS,37604.19140625,345.4969618830294,_std_1e-05_n_samples_1000_n_perturbations_100_p_norm_2_seed_-1_n_jobs_-1
ann,heloc,shap,ROS,1520331.75,59301.485401511156,_std_1e-05_n_samples_1000_n_perturbations_100_p_norm_2_seed_-1_n_jobs_-1
ann,heloc,pfi,PGU,0.0981009471672494,0.0032323477657901765,_k_0.25_AUC_True_std_0.1_n_samples_100_seed_-1_n_jobs_-1
ann,heloc,pfi,PGI,0.060275827051563355,0.0023153294051404066,_k_0.25_AUC_True_std_0.1_n_samples_100_seed_-1_n_jobs_-1
ann,heloc,pdp,PGU,0.09191414486066787,0.003136022322604946,_k_0.25_AUC_True_std_0.1_n_samples_100_seed_-1_n_jobs_-1
ann,heloc,pdp,PGI,0.06996604824696295,0.0025744154906903217,_k_0.25_AUC_True_std_0.1_n_samples_100_seed_-1_n_jobs_-1
ann,synthetic,lime,PGU,0.1824651880331383,0.004980921973547681,_k_0.25_AUC_True_std_0.1_n_samples_100_seed_-1_n_jobs_-1
ann,synthetic,lime,PGI,0.14356768082690588,0.004721850971602668,_k_0.25_AUC_True_std_0.1_n_samples_100_seed_-1_n_jobs_-1
ann,synthetic,lime,RIS,2.1938335325213996e+22,inf,_std_1e-05_n_samples_1000_n_perturbations_100_p_norm_2_seed_-1_n_jobs_-1
ann,synthetic,lime,RRS,3.4443768640909804e+22,inf,_std_1e-05_n_samples_1000_n_perturbations_100_p_norm_2_seed_-1_n_jobs_-1
ann,synthetic,lime,ROS,7.372525446194509e+22,inf,_std_1e-05_n_samples_1000_n_perturbations_100_p_norm_2_seed_-1_n_jobs_-1
ann,synthetic,shap,PGU,0.19640855982655409,0.0050417068532713554,_k_0.25_AUC_True_std_0.1_n_samples_100_seed_-1_n_jobs_-1
ann,synthetic,shap,PGI,0.11432417117718084,0.004449363499735993,_k_0.25_AUC_True_std_0.1_n_samples_100_seed_-1_n_jobs_-1
ann,synthetic,shap,RIS,535781394.80158854,491400602.81168175,_std_1e-05_n_samples_1000_n_perturbations_100_p_norm_2_seed_-1_n_jobs_-1
ann,synthetic,shap,RRS,688543768.0103893,629972322.8376061,_std_1e-05_n_samples_1000_n_perturbations_100_p_norm_2_seed_-1_n_jobs_-1
ann,synthetic,shap,ROS,17686246537.497765,15078106302.094915,_std_1e-05_n_samples_1000_n_perturbations_100_p_norm_2_seed_-1_n_jobs_-1
ann,synthetic,pfi,PGU,0.20786003746822715,0.005088785112026745,_k_0.25_AUC_True_std_0.1_n_samples_100_seed_-1_n_jobs_-1
ann,synthetic,pfi,PGI,0.07775112091988015,0.0040435700682619,_k_0.25_AUC_True_std_0.1_n_samples_100_seed_-1_n_jobs_-1
ann,synthetic,pdp,PGU,0.18495639518882023,0.005001448036088466,_k_0.25_AUC_True_std_0.1_n_samples_100_seed_-1_n_jobs_-1
ann,synthetic,pdp,PGI,0.13917658068150815,0.004668778608627057,_k_0.25_AUC_True_std_0.1_n_samples_100_seed_-1_n_jobs_-1
